User,year,month,input_name,flow
loudoun,2015,JUNE,CABIN BRANCH,50.35
loudoun,2015,JULY,CABIN BRANCH,50.35
loudoun,2015,AUGUST,CABIN BRANCH,54.14
loudoun,2015,SEPTEMBER,CABIN BRANCH,48.67
loudoun,2015,OCTOBER,CABIN BRANCH,45.52
loudoun,2015,NOVEMBER,CABIN BRANCH,40.55
loudoun,2015,DECEMBER,CABIN BRANCH,46.28
loudoun,2016,JANUARY,CABIN BRANCH,57.86
loudoun,2016,FEBRUARY,CABIN BRANCH,70.40
loudoun,2016,MARCH,CABIN BRANCH,52.05
loudoun,2016,APRIL,CABIN BRANCH,54.65
loudoun,2016,MAY,CABIN BRANCH,65.13
loudoun,2016,JUNE,CABIN BRANCH,52.88
loudoun,2016,JULY,CABIN BRANCH,58.29
loudoun,2016,AUGUST,CABIN BRANCH,53.59
loudoun,2016,SEPTEMBER,CABIN BRANCH,48.20
loudoun,2016,OCTOBER,CABIN BRANCH,52.65
loudoun,2016,NOVEMBER,CABIN BRANCH,47.05
loudoun,2016,DECEMBER,CABIN BRANCH,55.70
loudoun,2017,JANUARY,CABIN BRANCH,52.44
loudoun,2017,FEBRUARY,CABIN BRANCH,48.08
loudoun,2017,MARCH,CABIN BRANCH,46.01
loudoun,2017,APRIL,CABIN BRANCH,50.31
loudoun,2017,MAY,CABIN BRANCH,50.59
loudoun,2017,JUNE,CABIN BRANCH,39.89
loudoun,2017,JULY,CABIN BRANCH,50.67
loudoun,2017,AUGUST,CABIN BRANCH,47.88
loudoun,2017,SEPTEMBER,CABIN BRANCH,39.84
loudoun,2017,OCTOBER,CABIN BRANCH,44.73
loudoun,2017,NOVEMBER,CABIN BRANCH,43.00
loudoun,2017,DECEMBER,CABIN BRANCH,40.85
loudoun,2018,JANUARY,CABIN BRANCH,39.46
loudoun,2018,FEBRUARY,CABIN BRANCH,48.57
loudoun,2018,MARCH,CABIN BRANCH,47.39
loudoun,2018,APRIL,CABIN BRANCH,46.31
loudoun,2018,MAY,CABIN BRANCH,45.65
loudoun,2018,JUNE,CABIN BRANCH,48.44
loudoun,2018,JULY,CABIN BRANCH,56.82
loudoun,2018,AUGUST,CABIN BRANCH,62.47
loudoun,2018,SEPTEMBER,CABIN BRANCH,63.59
loudoun,2018,OCTOBER,CABIN BRANCH,53.88
loudoun,2018,NOVEMBER,CABIN BRANCH,52.18
loudoun,2018,DECEMBER,CABIN BRANCH,67.04
loudoun,2019,JANUARY,CABIN BRANCH,60.05
loudoun,2019,FEBRUARY,CABIN BRANCH,56.34
loudoun,2019,MARCH,CABIN BRANCH,64.82
loudoun,2019,APRIL,CABIN BRANCH,51.56
loudoun,2019,MAY,CABIN BRANCH,59.81
loudoun,2019,JUNE,CABIN BRANCH,47.90
loudoun,2019,JULY,CABIN BRANCH,51.50
loudoun,2019,AUGUST,CABIN BRANCH,45.65
loudoun,2019,SEPTEMBER,CABIN BRANCH,46.14
loudoun,2019,OCTOBER,CABIN BRANCH,48.65
loudoun,2019,NOVEMBER,CABIN BRANCH,46.17
loudoun,2019,DECEMBER,CABIN BRANCH,50.97
loudoun,2020,JANUARY,CABIN BRANCH,52.84
loudoun,2020,FEBRUARY,CABIN BRANCH,51.93
loudoun,2020,MARCH,CABIN BRANCH,50.70
loudoun,2020,APRIL,CABIN BRANCH,58.88
loudoun,2020,MAY,CABIN BRANCH,63.18
loudoun,2020,JUNE,CABIN BRANCH,57.14
loudoun,2020,JULY,CABIN BRANCH,47.83
loudoun,2020,AUGUST,CABIN BRANCH,57.85
loudoun,2020,SEPTEMBER,CABIN BRANCH,50.98
loudoun,2020,OCTOBER,CABIN BRANCH,49.79
loudoun,2020,NOVEMBER,CABIN BRANCH,51.03
loudoun,2020,DECEMBER,CABIN BRANCH,69.85
loudoun,2021,JANUARY,CABIN BRANCH,52.05
loudoun,2021,FEBRUARY,CABIN BRANCH,54.36
loudoun,2021,MARCH,CABIN BRANCH,53.60
loudoun,2021,APRIL,CABIN BRANCH,51.60
loudoun,2021,MAY,CABIN BRANCH,46.91
loudoun,2021,JUNE,CABIN BRANCH,50.59
loudoun,2021,JULY,CABIN BRANCH,49.86
loudoun,2021,AUGUST,CABIN BRANCH,53.49
loudoun,2021,SEPTEMBER,CABIN BRANCH,51.60
loudoun,2021,OCTOBER,CABIN BRANCH,48.58
loudoun,2021,NOVEMBER,CABIN BRANCH,44.01
loudoun,2021,DECEMBER,CABIN BRANCH,42.97
loudoun,2022,JANUARY,CABIN BRANCH,54.52
loudoun,2022,FEBRUARY,CABIN BRANCH,45.98
loudoun,2022,MARCH,CABIN BRANCH,46.43
loudoun,2022,APRIL,CABIN BRANCH,41.93
loudoun,2022,MAY,CABIN BRANCH,50.53
loudoun,2022,JUNE,CABIN BRANCH,44.89
loudoun,2022,JULY,CABIN BRANCH,47.65
loudoun,2022,AUGUST,CABIN BRANCH,45.21
loudoun,2022,SEPTEMBER,CABIN BRANCH,41.40
loudoun,2022,OCTOBER,CABIN BRANCH,42.71
loudoun,2022,NOVEMBER,CABIN BRANCH,40.47
loudoun,2022,DECEMBER,CABIN BRANCH,49.23
loudoun,2023,JANUARY,CABIN BRANCH,43.23
loudoun,2023,FEBRUARY,CABIN BRANCH,42.82
loudoun,2023,MARCH,CABIN BRANCH,43.59
loudoun,2023,APRIL,CABIN BRANCH,41.20
loudoun,2023,MAY,CABIN BRANCH,42.20
loudoun,2023,JUNE,CABIN BRANCH,40.51
loudoun,2023,JULY,CABIN BRANCH,48.60
loudoun,2023,AUGUST,CABIN BRANCH,44.73
loudoun,2023,SEPTEMBER,CABIN BRANCH,46.68
loudoun,1997,OCTOBER,HUGHES BRANCH,6.14
loudoun,1997,NOVEMBER,HUGHES BRANCH,7.39
loudoun,1997,DECEMBER,HUGHES BRANCH,6.39
loudoun,1998,JANUARY,HUGHES BRANCH,7.65
loudoun,1998,FEBRUARY,HUGHES BRANCH,7.28
loudoun,1998,MARCH,HUGHES BRANCH,7.72
loudoun,1998,APRIL,HUGHES BRANCH,6.41
loudoun,1998,MAY,HUGHES BRANCH,6.74
loudoun,1998,JUNE,HUGHES BRANCH,6.04
loudoun,1998,JULY,HUGHES BRANCH,6.02
loudoun,1998,AUGUST,HUGHES BRANCH,6.21
loudoun,1998,SEPTEMBER,HUGHES BRANCH,6.54
loudoun,1998,OCTOBER,HUGHES BRANCH,6.56
