name,lat,lon,dia,slope,length
321,39.02086714,-77.36857363,36,0.0026,552
322,39.01920854,-77.36829834,36,0.0026,609
323,39.01783534,-77.36845442,36,0.0024,502
324,39.01626851,-77.36901715,36,0.0024,593
325,39.01479236,-77.36948174,36,0.0024,554
400,39.045697,-77.27547184,39,0.00085,3393
401,39.04517324,-77.27337218,39,0.00085,626
402,39.04366706,-77.27036394,39,0.00085,1015
403,39.04227749,-77.2675823,39,0.00085,938
404,39.04387752,-77.26521705,54,0.002,889
405,39.04387752,-77.26521705,36,0.0012,492
406,39.04330666,-77.26200219,36,0.0012,448
407,39.04378753,-77.26043105,36,0.0012,479
408,39.04816854,-77.28041059,66,0.0008,1667
409,39.05177809,-77.28514621,60,0.0075,1881
410,39.05501608,-77.29051276,60,0.0075,1927
411,39.05818961,-77.29502212,60,0.0005,1725
412,39.05932752,-77.29870767,54,0.0005,1126
413,39.0598125,-77.30266968,54,0.0005,1139
414,39.06002204,-77.30670566,54,0.0005,1149
417,39.05915008,-77.31198189,54,0.0005,1531
418,39.06251204,-77.31840091,54,0.00144,2196
419,39.06498571,-77.32049306,48,0.00113,1079
420,39.0667761,-77.32279145,48,0.00113,923
421,39.06854423,-77.32556848,48,0.00113,1018
422,39.06880506,-77.32880982,48,0.00113,925
423,39.0686511,-77.33253579,48,0.00113,1059
424,39.06905681,-77.33602553,48,0.00113,1002
425,39.0694864,-77.33974068,48,0.00113,1066
