user,year,month,input,flow
dulles,2013,MARCH,DULLES   -   S -110,25.22
dulles,2013,APRIL,DULLES   -   S -110,26.61
dulles,2013,MAY,DULLES   -   S -110,24.47
dulles,2013,JUNE,DULLES   -   S -110,26.63
dulles,2013,JULY,DULLES   -   S -110,33.36
dulles,2013,AUGUST,DULLES   -   S -110,24.81
dulles,2013,SEPTEMBER,DULLES   -   S -110,19.59
dulles,2013,OCTOBER,DULLES   -   S -110,33.86
dulles,2013,NOVEMBER,DULLES   -   S -110,23.09
dulles,2013,DECEMBER,DULLES   -   S -110,38.15
dulles,2014,JANUARY,DULLES   -   S -110,22.71
dulles,2014,FEBRUARY,DULLES   -   S -110,22.14
dulles,2014,MARCH,DULLES   -   S -110,19.91
dulles,2014,APRIL,DULLES   -   S -110,32.58
dulles,2014,MAY,DULLES   -   S -110,28.36
dulles,2014,JUNE,DULLES   -   S -110,33.66
dulles,2014,JULY,DULLES   -   S -110,42.57
dulles,2014,AUGUST,DULLES   -   S -110,34.07
dulles,2014,SEPTEMBER,DULLES   -   S -110,26.44
dulles,2014,OCTOBER,DULLES   -   S -110,23.08
dulles,2014,NOVEMBER,DULLES   -   S -110,19.23
dulles,2014,DECEMBER,DULLES   -   S -110,28.87
dulles,2015,JANUARY,DULLES   -   S -110,14.26
dulles,2015,FEBRUARY,DULLES   -   S -110,15.94
dulles,2015,MARCH,DULLES   -   S -110,33.77
dulles,2015,APRIL,DULLES   -   S -110,23.55
dulles,2015,MAY,DULLES   -   S -110,24.77
dulles,2015,JUNE,DULLES   -   S -110,38.23
dulles,2015,JULY,DULLES   -   S -110,29.34
dulles,2015,AUGUST,DULLES   -   S -110,27.92
dulles,2015,SEPTEMBER,DULLES   -   S -110,33.74
dulles,2015,OCTOBER,DULLES   -   S -110,25.01
dulles,2015,NOVEMBER,DULLES   -   S -110,24.42
dulles,2015,DECEMBER,DULLES   -   S -110,35.15
dulles,2016,JANUARY,DULLES   -   S -110,24.61
dulles,2016,FEBRUARY,DULLES   -   S -110,31.74
dulles,2016,MARCH,DULLES   -   S -110,28.23
dulles,2016,APRIL,DULLES   -   S -110,16.03
dulles,2016,MAY,DULLES   -   S -110,32.50
dulles,2016,JUNE,DULLES   -   S -110,37.98
dulles,2016,JULY,DULLES   -   S -110,29.47
dulles,2016,AUGUST,DULLES   -   S -110,35.24
dulles,2016,SEPTEMBER,DULLES   -   S -110,25.48
dulles,2016,OCTOBER,DULLES   -   S -110,29.09
dulles,2016,NOVEMBER,DULLES   -   S -110,24.06
dulles,2016,DECEMBER,DULLES   -   S -110,23.65
dulles,2017,JANUARY,DULLES   -   S -110,22.44
dulles,2017,FEBRUARY,DULLES   -   S -110,18.27
dulles,2017,MARCH,DULLES   -   S -110,30.46
dulles,2017,APRIL,DULLES   -   S -110,25.50
dulles,2017,MAY,DULLES   -   S -110,29.17
dulles,2017,JUNE,DULLES   -   S -110,30.39
dulles,2017,JULY,DULLES   -   S -110,29.19
dulles,2017,AUGUST,DULLES   -   S -110,30.83
dulles,2017,SEPTEMBER,DULLES   -   S -110,19.76
dulles,2017,OCTOBER,DULLES   -   S -110,20.71
dulles,2017,NOVEMBER,DULLES   -   S -110,26.51
dulles,2017,DECEMBER,DULLES   -   S -110,20.17
dulles,2018,JANUARY,DULLES   -   S -110,24.18
dulles,2018,FEBRUARY,DULLES   -   S -110,16.58
dulles,2018,MARCH,DULLES   -   S -110,22.34
