user,year,month,input,flow
vienna,2021,MARCH,NORTHSIDE,22.76
vienna,2021,APRIL,NORTHSIDE,22.43
vienna,2021,MAY,NORTHSIDE,21.65
vienna,2021,JUNE,NORTHSIDE,20.95
vienna,2021,JULY,NORTHSIDE,20.53
vienna,2021,AUGUST,NORTHSIDE,20.37
vienna,2021,SEPTEMBER,NORTHSIDE,19.57
vienna,2021,OCTOBER,NORTHSIDE,19.25
vienna,2021,NOVEMBER,NORTHSIDE,18.44
vienna,2021,DECEMBER,NORTHSIDE,18.11
vienna,2022,JANUARY,NORTHSIDE,20.09
vienna,2022,FEBRUARY,NORTHSIDE,18.37
vienna,2022,MARCH,NORTHSIDE,19.27
vienna,2022,APRIL,NORTHSIDE,19.44
vienna,2022,MAY,NORTHSIDE,21.58
vienna,2022,JUNE,NORTHSIDE,18.44
vienna,2022,JULY,NORTHSIDE,17.40
vienna,2022,AUGUST,NORTHSIDE,15.45
vienna,2022,SEPTEMBER,NORTHSIDE,13.82
vienna,2022,OCTOBER,NORTHSIDE,15.50
vienna,2022,NOVEMBER,NORTHSIDE,16.11
vienna,2022,DECEMBER,NORTHSIDE,17.60
vienna,2023,JANUARY,NORTHSIDE,18.10
vienna,2023,FEBRUARY,NORTHSIDE,17.04
vienna,2023,MARCH,NORTHSIDE,18.67
vienna,2023,APRIL,NORTHSIDE,15.98
vienna,2023,MAY,NORTHSIDE,16.00
vienna,2023,JUNE,NORTHSIDE,14.39
vienna,2023,JULY,NORTHSIDE,14.97
vienna,2023,AUGUST,NORTHSIDE,15.24
vienna,2023,SEPTEMBER,NORTHSIDE,13.20
vienna,,,NORTHSIDE,
vienna,,,NORTHSIDE,
vienna,,,NORTHSIDE,
vienna,2018,OCTOBER,NORTHSIDE,11.26
vienna,2018,NOVEMBER,NORTHSIDE,13.72
vienna,2018,DECEMBER,NORTHSIDE,14.71
vienna,1997,OCTOBER,CREEK CROSSING,13.79
vienna,1997,NOVEMBER,CREEK CROSSING,17.67
vienna,1997,DECEMBER,CREEK CROSSING,16.52
vienna,1998,JANUARY,CREEK CROSSING,18.16
vienna,1998,FEBRUARY,CREEK CROSSING,19.98
vienna,1998,MARCH,CREEK CROSSING,25.14
vienna,1998,APRIL,CREEK CROSSING,21.30
vienna,1998,MAY,CREEK CROSSING,22.49
vienna,1998,JUNE,CREEK CROSSING,17.79
vienna,1998,JULY,CREEK CROSSING,15.01
vienna,1998,AUGUST,CREEK CROSSING,13.95
vienna,1998,SEPTEMBER,CREEK CROSSING,11.92
vienna,1998,OCTOBER,CREEK CROSSING,12.41
vienna,1998,NOVEMBER,CREEK CROSSING,12.15
vienna,1998,DECEMBER,CREEK CROSSING,12.27
vienna,1999,JANUARY,CREEK CROSSING,16.49
vienna,1999,FEBRUARY,CREEK CROSSING,12.63
vienna,1999,MARCH,CREEK CROSSING,16.00
vienna,1999,APRIL,CREEK CROSSING,16.02
vienna,1999,MAY,CREEK CROSSING,16.04
vienna,1999,JUNE,CREEK CROSSING,14.20
vienna,1999,JULY,CREEK CROSSING,13.03
vienna,1999,AUGUST,CREEK CROSSING,13.63
vienna,1999,SEPTEMBER,CREEK CROSSING,15.55
vienna,1999,OCTOBER,CREEK CROSSING,16.65
vienna,1999,NOVEMBER,CREEK CROSSING,15.93
vienna,1999,DECEMBER,CREEK CROSSING,19.16
vienna,2000,JANUARY,CREEK CROSSING,18.05
vienna,2000,FEBRUARY,CREEK CROSSING,14.05
vienna,2000,MARCH,CREEK CROSSING,15.73
vienna,2000,APRIL,CREEK CROSSING,15.86
vienna,2000,MAY,CREEK CROSSING,13.39
vienna,2000,JUNE,CREEK CROSSING,12.96
vienna,2000,JULY,CREEK CROSSING,12.33
vienna,2000,AUGUST,CREEK CROSSING,13.18
vienna,2000,SEPTEMBER,CREEK CROSSING,12.08
vienna,2000,OCTOBER,CREEK CROSSING,11.55
vienna,2000,NOVEMBER,CREEK CROSSING,11.19
vienna,2000,DECEMBER,CREEK CROSSING,12.33
vienna,2001,JANUARY,CREEK CROSSING,10.36
vienna,2001,FEBRUARY,CREEK CROSSING,10.38
vienna,2001,MARCH,CREEK CROSSING,12.21
vienna,2001,APRIL,CREEK CROSSING,12.54
vienna,2001,MAY,CREEK CROSSING,13.57
vienna,2001,JUNE,CREEK CROSSING,12.40
vienna,2001,JULY,CREEK CROSSING,9.70
vienna,2001,AUGUST,CREEK CROSSING,13.56
vienna,2001,SEPTEMBER,CREEK CROSSING,8.36
vienna,2001,OCTOBER,CREEK CROSSING,7.49
vienna,2001,NOVEMBER,CREEK CROSSING,7.32
vienna,2001,DECEMBER,CREEK CROSSING,9.25
vienna,2002,JANUARY,CREEK CROSSING,8.59
vienna,2002,FEBRUARY,CREEK CROSSING,7.16
vienna,2002,MARCH,CREEK CROSSING,8.63
vienna,2002,APRIL,CREEK CROSSING,9.63
vienna,2002,MAY,CREEK CROSSING,10.34
vienna,2002,JUNE,CREEK CROSSING,8.35
vienna,2002,JULY,CREEK CROSSING,7.85
vienna,2002,AUGUST,CREEK CROSSING,7.13
vienna,2002,SEPTEMBER,CREEK CROSSING,6.54
vienna,2002,OCTOBER,CREEK CROSSING,7.33
vienna,2002,NOVEMBER,CREEK CROSSING,10.30
vienna,2002,DECEMBER,CREEK CROSSING,12.13
vienna,2003,JANUARY,CREEK CROSSING,12.34
vienna,2003,FEBRUARY,CREEK CROSSING,11.92
vienna,2003,MARCH,CREEK CROSSING,10.74
vienna,2003,APRIL,CREEK CROSSING,13.37
vienna,2003,MAY,CREEK CROSSING,16.66
