ID,type,name,Lat,Lon,state,capacity,date start,status,usmh,dsmh,dia,slope,length,material,shape,usstation,dsstation,unit
,manhole,75,38.99113631,-77.46378768,,,,,75,74,42,0.001,1001,RCP,Round,67900,66900,5
,manhole,76,38.98850755,-77.46274993,,,,,76,75,42,0.001,1002,RCP,Round,68900,67900,5
,manhole,77,38.98733638,-77.46185029,,,,,77,76,42,0.001,497,RCP,Round,69409,68900,5/11A
,manhole,78,38.98600527,-77.46070564,,,,,78,77,42,0.001,584,RCP,Round,69998,69409,11A
,manhole,79,38.98456097,-77.4596935,,,,,79,78,42,0.001,600,RCP,Round,70598,69998,11A
,manhole,80,38.98334679,-77.45884372,,,,,80,79,42,0.001,504,RCP,Round,71100,70598,11A
,manhole,80.2,38.98296318,-77.45715303,,,,,80.2,80.83,24,0.0013,184,RCP,Round,73000,71100,11A
,manhole,80.8,38.98269814,-77.45542113,,,,,80.8,80,24,0.0013,500,RCP,Round,71600,73000,11A
,manhole,80.81,38.98266046,-77.45450541,,,,,80.81,80.8,24,0.0013,502,RCP,Round,72106,71600,11A
,manhole,80.82,38.98265492,-77.4529172,,,,,80.82,80.81,24,0.0013,261,RCP,Round,,72106,11A
,manhole,80.83,38.98257751,-77.45227808,,,,,80.83,80.82,24,0.0013,451,RCP,Round,,,11A
,manhole,81,38.98190439,-77.45783399,,,,,81,80,42,0.0007,599,RCP,Round,71700,,11A
,manhole,82,38.98069216,-77.45698571,,,,,82,81,42,0.0007,503,RCP,Round,72203,71700,11A
,manhole,83,38.9792474,-77.45597318,,,,,83,82,42,0.0011,600,RCP,Round,72800,72203,11A
,manhole,84,38.97838441,-77.45470199,,,,,84,83,36,0.0011,479,RCP,Round,73295,72800,11A
,manhole,85,38.97765487,-77.453199,,,,,85,84,36,0.0011,503,RCP,Round,73798,73295,11A
,manhole,86,38.976924,-77.45169712,,,,,86,85,36,0.0011,503,RCP,Round,74302,73798,11A
,manhole,87,38.97635668,-77.45052964,,,,,87,86,36,0.0011,391,RCP,Round,74693,74302,11A
,manhole,88,38.97562633,-77.44902698,,,,,88,87,36,0.0011,503,RCP,Round,75197,74693,11A
,manhole,89,38.97489563,-77.4475252,,,,,89,88,36,0.0011,503,RCP,Round,75701,75197,11A
,manhole,90,38.97387669,-77.44641815,,,,,90,89,36,0.0011,487,RCP,Round,76200,75701,11A
,manhole,91,38.97269577,-77.44549705,,,,,91,90,36,0.0011,504,RCP,Round,76704,76200,11A
,manhole,92,38.971517,-77.44457568,,,,,92,91,36,0.0011,503,RCP,Round,77207,76704,11A
,manhole,93,38.97037549,-77.44368456,,,,,93,92,30,0.00609,487,RCP,Round,77695,77207,11A
,manhole,94,38.9695343,-77.44302823,,,,,94,93,30,0.00609,359,RCP,Round,78054,77695,11A
,manhole,95,38.96887969,-77.44222299,,,,,95,94,30,0.00609,331,RCP,Round,78296,78054,11A
,manhole,96,38.96813546,-77.44074511,,,,,96,95,36,0.001,500,RCP,Round,78796,78296,11A
,manhole,97,38.96730257,-77.43934711,,,,,97,96,36,0.001,500,RCP,Round,79301,78796,11A
,manhole,98,38.9668721,-77.43767389,,,,,98,97,36,0.001,501,RCP,Round,48700,79301,11A
